Age	Education	Income	Unemployment	Balance
37.5	14.6	75611	9.9	383767
36.8	13.8	72245	10	35206
35.7	12.6	39707	10.1	21345
36.1	12.9	53892	10.2	27570
36.7	13.5	20598	10.2	147359
39.4	16.1	111548	10.3	56569
36.1	12.8	48600	10.3	26144
36.2	12.9	53713	10.3	26785
35.7	12.4	52284	10.3	29763
37.1	13.7	60773	10.4	279902
37	13.6	61466	10.4	292917
36.4	12.9	38184	10.5	21534
35.9	12.4	51818	10.5	26242
37.1	13.6	65645	10.5	304512
36.6	13	32833	10.6	276054
37.9	14.2	58294	10.7	29950
37	13.3	42964	10.7	232877
36.1	12.4	31770	10.7	15912
36.4	12.5	37083	10.9	21670
38	14.1	70659	10.9	349539
38	14.1	64899	10.9	294423
37.7	13.8	86748	10.9	40618
36.7	12.8	48631	10.9	23610
36.2	12.3	50357	10.9	24076
36.1	12.2	30589	10.9	16352
36.5	12.4	41607	11.1	22340
35.1	11	7741	11.1	6207
37.7	13.6	48202	11.1	264293
37.5	13.4	42421	11.1	225527
36.9	12.7	52838	11.2	23077
36.5	12.3	33891	11.2	18340
36.7	12.5	31344	11.2	16100
37.6	13.4	55293	11.2	273012
40.4	16.1	61091	11.3	32150
37.6	13.3	52412	11.3	257707
39.3	15	56823	11.3	305254
38	13.6	53890	11.4	26542
38	13.6	51439	11.4	256745
37.5	13	30412	11.5	20463
39.3	14.8	76527	11.5	363935
37.1	12.5	46176	11.6	23858
37.2	12.6	36789	11.6	20020
38.3	13.7	37804	11.6	199945
37.8	13.2	45541	11.6	243520
38.8	14.2	36512	11.6	215073
37.5	12.8	51182	11.7	23584
37.2	12.5	54044	11.7	27753
37.6	12.9	38596	11.7	17939
38.7	14	64914	11.7	338593
39.1	14.4	55629	11.7	257937
39.7	15	59862	11.7	306812
37.3	12.5	47119	11.8	22357
39.5	14.7	72265	11.8	368065
37.7	12.9	64597	11.8	34936
39.3	14.4	80615	11.9	38766
37.8	12.9	45286	11.9	28174
37.7	12.8	74091	11.9	37603
38.4	13.5	39727	11.9	223154
37.5	12.5	66667	12	31758
38.8	13.8	53912	12	288234
38.7	13.6	44520	12.1	25276
42.1	17	111568	12.1	591405
38.8	13.7	48620	12.1	273326
38.9	13.8	53733	12.1	280027
38.4	13.3	52304	12.1	311161
39.1	13.8	38204	12.3	225130
38.6	13.3	51838	12.3	274350
40.5	15.1	82557	12.4	41742
38.1	12.7	47388	12.4	24890
40.6	15.1	58314	12.5	313116
38.8	13.3	31790	12.5	166355
40.4	14.7	86768	12.7	424645
39.4	13.7	48651	12.7	246834
38.9	13.2	50377	12.7	251706
39.1	13.4	37103	12.7	226552
38.8	13.1	30609	12.7	170955
38.4	12.5	52500	12.9	29706
38.7	12.8	62024	12.9	31283
39.2	13.3	41627	12.9	233557
37.8	11.9	7761	12.9	64893
39.6	13.6	52858	13	241262
39.2	13.2	33911	13	191738
39.4	13.4	31364	13	168320
43.1	17	61111	13.1	336116
38.9	12.7	46607	13.2	27096
40.7	14.5	53910	13.2	277487
40.2	13.9	30432	13.3	213933
39.8	13.4	46036	13.4	27005
37.5	11.1	34896	13.4	20586
39.1	12.7	60262	13.4	32576
39.8	13.4	46196	13.4	249427
39.9	13.5	36809	13.4	209302
38.8	12.3	42750	13.5	25385
39.1	12.6	44286	13.5	22579
40.2	13.7	51202	13.5	246562
40.3	13.8	38616	13.5	187546
39.9	13.4	54064	13.5	290147
40	13.4	47139	13.6	233734
40.4	13.8	64617	13.6	365242
39.5	12.8	32994	13.7	21145
42	15.3	80635	13.7	405283
40.5	13.8	45306	13.7	294548
40.4	13.7	74111	13.7	393124
40.2	13.4	66687	13.8	332017
41.4	14.5	44540	13.9	264251
40.4	13.2	62164	14.2	28507
43.2	16	82577	14.2	436396
40.8	13.6	47408	14.2	260216
43.1	15.8	88041	14.3	51107
41.4	13.7	62044	14.7	327052
41.1	13.4	52520	14.7	310565
41.6	13.6	46627	15	283278
40.7	12.7	52500	15	28867
42.5	14.3	46056	15.2	282327
41.8	13.6	60282	15.2	340569
40.2	12	34916	15.2	215219
41.5	13.2	42770	15.3	265391
41.8	13.5	44306	15.3	236055
42.2	13.7	33014	15.5	221063
41.7	13	48439	15.7	31054
43.1	14.1	62184	16	298030
45.8	16.7	88061	16.1	534302
42.4	12.6	31563	16.8	15961
43.4	13.6	52520	16.8	301793
44.4	13.9	48459	17.5	324657
45.1	13.5	31583	18.6	166867
